id ,acrovym ,definition
1,BGP,Border Gateway Protocol is a standardized exterior gateway protocol designed to exchange routing and reachability information between autonomous systems on the Internet
2,DNS,"Domanin Name Server - hierarchical and decentralized naming system used to identify computers, services, and other resources reachable through the Internet "
3,ETM,Protected
4,SG,Protected
5,Triple Sphere,Protected
6,CFT,Protected
7,AIB,Protected
8,MIB,Protected
9,EIBR,Protected
10,ACL,Protected
11,NACL,Protected
12,CR,Protected
13,PR,Protected
14,DNS Dial ,Protected
15,EKS,Protected
16,NCD,Protected
17,CLI,Protected
18,LTIP,Protected
19,AD,Protected
20,PC,Protected
21,DX,Protected
22,ALB,Protected
23,PTG,Protected
24,ETG,Protected
25,LDAP,Protected
26,SIE,Protected
27,VPC,Protected
28,WAF,Protected
29,NOC,Protected
30,restack,Protected
31,SGRC,Protected
32,ELB,Protected
33,S2S,Protected
34,NLB,Protected
35,NP,Protected
36,ETM,Protected
37,CFN,Protected
38,CICD,Protected
39,DPE,Protected
40,LVDC,Protected
41,OLTP,Protected
42,OLAP,Protected
43,AMI,Protected
44,NCO,Protected
45,KV,Protected
46,STEF,Protected
47,Hosted Zone,Protected
48,NARB,Protected
49,SLA,Protected
50,SSD,Protected
51,Cisco CSR,Protected
52,ENI,Protected
53,EIP,Protected
54,S3,Protected
55,CIDR,Protected
56,TCP,Protected
57,NAT,Protected
58,VIF,Protected
59,VG,Protected
60,VPG,Protected
61,RFC,Protected
62,AC,Protected
63,SRE,Protected
64,GSO,Protected
65,PSN,Protected
66,CDN,Protected
67,CGEI,Protected
68,FMA,Protected
69,DHCP,Protected
70,CPE,Protected
71,CCSE,Protected
72,DSO,Protected
73,GFM-SDS,Protected
74,GPSA,Protected
75,EXDG,Protected
76,PPM,Protected
77,WWS,Protected
78,RHQ,Protected
79,SPE,Protected
80,IGW,Protected
81,SNI,Protected
82,KPI,Protected
83,DoD,Protected
84,SPINT,Protected
85,PQA,Protected
86,PMGT,Protected
87,Regcam,Protected
88,pdx,Protected
89,SAML,Protected
90,STS,Protected
